source,target,relationship,followers,platform,predicted_sentiment,content,date,layanan
mlewoi,@indihome,mention,0,twitter,,,,IndiHome
mlewoi,@indihomecare,mention,0,twitter,,,,IndiHome
angkringandhl,@indihome,mention,0,twitter,,,,IndiHome
indihome,@apank_disandi,mention,0,twitter,,,,IndiHome
harurormm,@indihome,mention,0,twitter,,,,IndiHome
tidakpunyauang,@yizhaniturealya,mention,0,twitter,,,,IndiHome
tidakpunyauang,@indihome,mention,0,twitter,,,,IndiHome
indihome,@pompomfly,mention,0,twitter,,,,IndiHome
indihome,@indihome,mention,0,twitter,,,,IndiHome
indihome,@gagitugie___,mention,0,twitter,,,,IndiHome
iamyyoouurrss,@indihome,mention,0,twitter,,,,IndiHome
hanaamoonn,@indihome,mention,0,twitter,,,,IndiHome
opalaite,@indihome,mention,0,twitter,,,,IndiHome
hconxy,@indihomejtd,mention,0,twitter,,,,IndiHome
hconxy,@indihome,mention,0,twitter,,,,IndiHome
nassykucink,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@khoiv_art,mention,0,twitter,,,,IndiHome
indihome,@peachestyng,mention,0,twitter,,,,IndiHome
iitoetes,@indihome,mention,0,twitter,,,,IndiHome
telkomsel,@reanjunie,mention,0,twitter,,,,IndiHome
indihome,@yizhaniturealya,mention,0,twitter,,,,IndiHome
chanfelic,@indihome,mention,0,twitter,,,,IndiHome
peachestyng,@indihome,mention,0,twitter,,,,IndiHome
hp1290895558,@indihome,mention,0,twitter,,,,IndiHome
nodevilnolived,@indihome,mention,0,twitter,,,,IndiHome
kunoichianon,@indihomecare,mention,0,twitter,,,,IndiHome
b4ngda,@indihome,mention,0,twitter,,,,IndiHome
nabillafadis_,@indihome,mention,0,twitter,,,,IndiHome
jaerimfrey,@may212025,mention,0,twitter,,,,IndiHome
jaerimfrey,@cryptowaveid,mention,0,twitter,,,,IndiHome
zorudikke,@indihome,mention,0,twitter,,,,IndiHome
godwspeed,@gokil,mention,0,twitter,,,,IndiHome
destinedtofade,@basebdg,mention,0,twitter,,,,IndiHome
soobiniesweet,@indihome,mention,0,twitter,,,,IndiHome
may212025,@cryptowaveid,mention,0,twitter,,,,IndiHome
indihome,@kimboooyz,mention,0,twitter,,,,IndiHome
tireliye,@indihome,mention,0,twitter,,,,IndiHome
indihome,@j_urneyy,mention,0,twitter,,,,IndiHome
indihome,@masarifa,mention,0,twitter,,,,IndiHome
cxpungg,@indihomen,mention,0,twitter,,,,IndiHome
cxpungg,@indihomecare,mention,0,twitter,,,,IndiHome
alfiditto,@indihome,mention,0,twitter,,,,IndiHome
alfiditto,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@fchrisabela,mention,0,twitter,,,,IndiHome
indihome,@rampoeng,mention,0,twitter,,,,IndiHome
ismidn,@indihome,mention,0,twitter,,,,IndiHome
lovintyoung,@indihome,mention,0,twitter,,,,IndiHome
salahdimatamuu,@icibosadd,mention,0,twitter,,,,IndiHome
indihome,@thisisnotbisky,mention,0,twitter,,,,IndiHome
rrawwwwwrr,@indihome,mention,0,twitter,,,,IndiHome
dodudukyunggg,@indihomecare,mention,0,twitter,,,,IndiHome
ars_maman,@indihome,mention,0,twitter,,,,IndiHome
thisisnotbisky,@indihome,mention,0,twitter,,,,IndiHome
gagitugie___,@indihome,mention,0,twitter,,,,IndiHome
boomba_yas2,@indihomecare,mention,0,twitter,,,,IndiHome
biebsbangtanbae,@indihomecare,mention,0,twitter,,,,IndiHome
syzygybench,@bayu3bay,mention,0,twitter,,,,IndiHome
syzygybench,@indihome,mention,0,twitter,,,,IndiHome
simintiri,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@tidakpunyauang,mention,0,twitter,,,,IndiHome
indihome,@nodevilnolived,mention,0,twitter,,,,IndiHome
hi_prilla,@indihomecare,mention,0,twitter,,,,IndiHome
hi_prilla,@telkomsel,mention,0,twitter,,,,IndiHome
indihome,@nassykucink,mention,0,twitter,,,,IndiHome
hahahastronin,@indihome,mention,0,twitter,,,,IndiHome
yizhaniturealya,@indihome,mention,0,twitter,,,,IndiHome
fchrisabela,@indihome,mention,0,twitter,,,,IndiHome
nyonyonobody,@indihome,mention,0,twitter,,,,IndiHome
dalvvr,@indihome,mention,0,twitter,,,,IndiHome
oxvaaaaaaa,@indihome,mention,0,twitter,,,,IndiHome
arningsih85,@indihomecare,mention,0,twitter,,,,IndiHome
yusufgunawan,@bbangshuhoon,mention,0,twitter,,,,IndiHome
yusufgunawan,@infomalang,mention,0,twitter,,,,IndiHome
kimboooyz,@indihome,mention,0,twitter,,,,IndiHome
kimboooyz,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@dewadewadwipa28,mention,0,twitter,,,,IndiHome
ra_missone,@indihome,mention,0,twitter,,,,IndiHome
bethesunz,@indihome,mention,0,twitter,,,,IndiHome
yukhwook,@rmcsoobin,mention,0,twitter,,,,IndiHome
telkomsel,@modalcepatid,mention,0,twitter,,,,IndiHome
j_urneyy,@indihome,mention,0,twitter,,,,IndiHome
indihome,@nyonyonobody,mention,0,twitter,,,,IndiHome
mabd_m,@indihome,mention,0,twitter,,,,IndiHome
esbekuuuu,@indihome,mention,0,twitter,,,,IndiHome
itsme_lheea,@indihome,mention,0,twitter,,,,IndiHome
itsme_lheea,@kowalskishit,mention,0,twitter,,,,IndiHome
kualarona,@indihome,mention,0,twitter,,,,IndiHome
kowalskishit,@indihome,mention,0,twitter,,,,IndiHome
upasayangwonu,@indihome,mention,0,twitter,,,,IndiHome
densupratama,@indihome,mention,0,twitter,,,,IndiHome
npcno2003,@indihome,mention,0,twitter,,,,IndiHome
nyonyonobody,@indihomecare,mention,0,twitter,,,,IndiHome
rose_rosyana,@telkomsel,mention,0,twitter,,,,IndiHome
indihome,@raafiakhmad_,mention,0,twitter,,,,IndiHome
bagellair15,@indihomecare,mention,0,twitter,,,,IndiHome
bagellair15,@indihome,mention,0,twitter,,,,IndiHome
indihome,@nvamlh,mention,0,twitter,,,,IndiHome
icegreentea_,@indihome,mention,0,twitter,,,,IndiHome
telkomsel,@rose_rosyana,mention,0,twitter,,,,IndiHome
indihome,@heroe120503,mention,0,twitter,,,,IndiHome
rampoeng,@indihome,mention,0,twitter,,,,IndiHome
sadelights,@bermuara_sayang,mention,0,twitter,,,,IndiHome
dewadewadwipa28,@indihomecare,mention,0,twitter,,,,IndiHome
ancur888,@indihome,mention,0,twitter,,,,IndiHome
racauchelsea,@bilal31246770,mention,0,twitter,,,,IndiHome
racauchelsea,@alfiditto,mention,0,twitter,,,,IndiHome
racauchelsea,@indihome,mention,0,twitter,,,,IndiHome
_laeer,@indihome,mention,0,twitter,,,,IndiHome
nnalifie,@indihome,mention,0,twitter,,,,IndiHome
nnalifie,@indihomecare,mention,0,twitter,,,,IndiHome
poocymaxxing,@indihome,mention,0,twitter,,,,IndiHome
lavendrbangtan,@indihome,mention,0,twitter,,,,IndiHome
biebsbangtanbae,@indihome,mention,0,twitter,,,,IndiHome
simp4ny_,@indihome,mention,0,twitter,,,,IndiHome
telkomsel,@miemince,mention,0,twitter,,,,IndiHome
indihome,@n4aayangiee,mention,0,twitter,,,,IndiHome
asyi_i,@indihome,mention,0,twitter,,,,IndiHome
indihome,@asyi_i,mention,0,twitter,,,,IndiHome
picxen_,@itsmeclover_,mention,0,twitter,,,,IndiHome
fibdillah,@indihome,mention,0,twitter,,,,IndiHome
indihome,@kodokijo_muda,mention,0,twitter,,,,IndiHome
indihome,@faisaloka,mention,0,twitter,,,,IndiHome
protegomaxxima,@telkomsel,mention,0,twitter,,,,IndiHome
indihome,@kkyucing,mention,0,twitter,,,,IndiHome
momotaro7106,@indihomecare,mention,0,twitter,,,,IndiHome
momotaro7106,@indihome,mention,0,twitter,,,,IndiHome
nak_djogja,@indihome,mention,0,twitter,,,,IndiHome
indihome,@antontifosi,mention,0,twitter,,,,IndiHome
indihome,@reemoramora,mention,0,twitter,,,,IndiHome
indihome,@lofxxy,mention,0,twitter,,,,IndiHome
hdwjyaa,@indihome,mention,0,twitter,,,,IndiHome
hdwjyaa,@indihomecare,mention,0,twitter,,,,IndiHome
krumkakei,@indihome,mention,0,twitter,,,,IndiHome
indihome,@ittekimazu,mention,0,twitter,,,,IndiHome
miawstudie,@indihome,mention,0,twitter,,,,IndiHome
indihome,@yiciku,mention,0,twitter,,,,IndiHome
amiwxy,@indihome,mention,0,twitter,,,,IndiHome
yoatobi,@indihome,mention,0,twitter,,,,IndiHome
indihome,@dalvvr,mention,0,twitter,,,,IndiHome
serbipart13,@indihome,mention,0,twitter,,,,IndiHome
mfaqihfathoni,@indihome,mention,0,twitter,,,,IndiHome
sibatucadas,@indihome,mention,0,twitter,,,,IndiHome
sibatucadas,@telkomsel,mention,0,twitter,,,,IndiHome
songsmick96,@indihome,mention,0,twitter,,,,IndiHome
indihome,@kbiya_,mention,0,twitter,,,,IndiHome
indihome,@hdwjyaa,mention,0,twitter,,,,IndiHome
rampoeng,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@nnalifie,mention,0,twitter,,,,IndiHome
indihome,@miawstudie,mention,0,twitter,,,,IndiHome
kualarona,@indihomecare,mention,0,twitter,,,,IndiHome
capyarifasx,@indihome,mention,0,twitter,,,,IndiHome
achkermant,@indihome,mention,0,twitter,,,,IndiHome
cookieztrmsz,@indihome,mention,0,twitter,,,,IndiHome
limajutadollar,@indihome,mention,0,twitter,,,,IndiHome
hermawangilang,@indihome,mention,0,twitter,,,,IndiHome
ayugaken,@indihome,mention,0,twitter,,,,IndiHome
indihome,@whatevahuwantt,mention,0,twitter,,,,IndiHome
hongjis0,@indihome,mention,0,twitter,,,,IndiHome
liab__,@indihome,mention,0,twitter,,,,IndiHome
h_hoi95,@indihome,mention,0,twitter,,,,IndiHome
fluffymoooon,@indihome,mention,0,twitter,,,,IndiHome
ackewest,@indihome,mention,0,twitter,,,,IndiHome
indihome,@serbipart13,mention,0,twitter,,,,IndiHome
heroe120503,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@mynameisdhea_,mention,0,twitter,,,,IndiHome
mynameisdhea_,@indihome,mention,0,twitter,,,,IndiHome
anggitym,@indihome,mention,0,twitter,,,,IndiHome
kbiya_,@indihomecare,mention,0,twitter,,,,IndiHome
kbiya_,@indihome,mention,0,twitter,,,,IndiHome
catteasan,@indihome,mention,0,twitter,,,,IndiHome
cassiaava,@indihome,mention,0,twitter,,,,IndiHome
cassiaava,@indihomecare,mention,0,twitter,,,,IndiHome
bayu3bay,@indihome,mention,0,twitter,,,,IndiHome
indihome,@creamybruleee,mention,0,twitter,,,,IndiHome
indihome,@mauumakan_,mention,0,twitter,,,,IndiHome
serbipart13,@titinroque,mention,0,twitter,,,,IndiHome
indihome,@bayu3bay,mention,0,twitter,,,,IndiHome
mynameisdhea_,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@fangfangrizal,mention,0,twitter,,,,IndiHome
indihome,@cisiturepublik,mention,0,twitter,,,,IndiHome
indihome,@achkermant,mention,0,twitter,,,,IndiHome
indihome,@ludensync666,mention,0,twitter,,,,IndiHome
chesstef,@indihome,mention,0,twitter,,,,IndiHome
makeitaquote,@odejale,mention,0,twitter,,,,IndiHome
makeitaquote,@bengkeldodo,mention,0,twitter,,,,IndiHome
makeitaquote,@indihomecare,mention,0,twitter,,,,IndiHome
makeitaquote,@mcpepes_ai,mention,0,twitter,,,,IndiHome
makeitaquote,@indonesiaku_yes,mention,0,twitter,,,,IndiHome
makeitaquote,@fdonghun,mention,0,twitter,,,,IndiHome
makeitaquote,@humaira979,mention,0,twitter,,,,IndiHome
makeitaquote,@xquitavee,mention,0,twitter,,,,IndiHome
makeitaquote,@epricila10,mention,0,twitter,,,,IndiHome
fenny_thejo,@fadli8830,mention,0,twitter,,,,IndiHome
fenny_thejo,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@burgyisboring,mention,0,twitter,,,,IndiHome
cookieztrmsz,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@diersssssss,mention,0,twitter,,,,IndiHome
indihome,@talkzch,mention,0,twitter,,,,IndiHome
indihome,@maeryugame,mention,0,twitter,,,,IndiHome
indihome,@ane2eaab,mention,0,twitter,,,,IndiHome
indihome,@brokreasi,mention,0,twitter,,,,IndiHome
indihome,@nalgoticaas,mention,0,twitter,,,,IndiHome
ayugaken,@indihomecare,mention,0,twitter,,,,IndiHome
dekwiintr,@indihomecare,mention,0,twitter,,,,IndiHome
diersssssss,@indihome,mention,0,twitter,,,,IndiHome
diersssssss,@indihomecare,mention,0,twitter,,,,IndiHome
josse891,@masss_indihome,mention,0,twitter,,,,IndiHome
josse891,@mafiawasit,mention,0,twitter,,,,IndiHome
rizkamanda,@telkomsel,mention,0,twitter,,,,IndiHome
rizkamanda,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@fadli8830,mention,0,twitter,,,,IndiHome
rhincdontypus,@rayytama,mention,0,twitter,,,,IndiHome
demaskofzorro,@tereasy25,mention,0,twitter,,,,IndiHome
tomylim5,@indihome,mention,0,twitter,,,,IndiHome
nalgoticaas,@indihomecare,mention,0,twitter,,,,IndiHome
jciingy,@indihome,mention,0,twitter,,,,IndiHome
indihome,@celsarchives,mention,0,twitter,,,,IndiHome
indihome,@fluffymoooon,mention,0,twitter,,,,IndiHome
milhyaaa,@indihome,mention,0,twitter,,,,IndiHome
indihome,@cic4kkkk,mention,0,twitter,,,,IndiHome
nasikuning0101,@indihome,mention,0,twitter,,,,IndiHome
nalgoticaas,@indihome,mention,0,twitter,,,,IndiHome
indihome,@sohibjeki,mention,0,twitter,,,,IndiHome
indihome,@panggilajadw1,mention,0,twitter,,,,IndiHome
tomylim5,@indihomecare,mention,0,twitter,,,,IndiHome
m_hidayat183,@indihomecare,mention,0,twitter,,,,IndiHome
m_hidayat183,@indihome,mention,0,twitter,,,,IndiHome
m_hidayat183,@telkomjabar,mention,0,twitter,,,,IndiHome
taqtaqia,@indihome,mention,0,twitter,,,,IndiHome
in_makiy,@indihome,mention,0,twitter,,,,IndiHome
indihome,@dismantlepoop,mention,0,twitter,,,,IndiHome
indaaah823,@indihome,mention,0,twitter,,,,IndiHome
dhanirinjani,@picxen_,mention,0,twitter,,,,IndiHome
adefirdaus8656,@indihomecare,mention,0,twitter,,,,IndiHome
adefirdaus8656,@indihome,mention,0,twitter,,,,IndiHome
pakrtgalau,@naevizs,mention,0,twitter,,,,IndiHome
nurkhalidahrs_,@indihome,mention,0,twitter,,,,IndiHome
tidakpunyauang,@indihomecare,mention,0,twitter,,,,IndiHome
tidakpunyauang,@telkomjabar,mention,0,twitter,,,,IndiHome
ciamovick,@indihome,mention,0,twitter,,,,IndiHome
scarxmouche,@indihome,mention,0,twitter,,,,IndiHome
celsarchives,@indihomecare,mention,0,twitter,,,,IndiHome
celsarchives,@indihome,mention,0,twitter,,,,IndiHome
bunnydung,@indihome,mention,0,twitter,,,,IndiHome
cumolonimlust,@indihome,mention,0,twitter,,,,IndiHome
fadli8830,@indihomecare,mention,0,twitter,,,,IndiHome
fadli8830,@indihome,mention,0,twitter,,,,IndiHome
s1nyorita,@indihome,mention,0,twitter,,,,IndiHome
febybdn,@indihome,mention,0,twitter,,,,IndiHome
kittyyeo0,@indihome,mention,0,twitter,,,,IndiHome
indihome,@ch33zee,mention,0,twitter,,,,IndiHome
indihome,@s1nyorita,mention,0,twitter,,,,IndiHome
indihome,@jhafifah_,mention,0,twitter,,,,IndiHome
s1nyorita,@indihomecare,mention,0,twitter,,,,IndiHome
ch33zee,@indihome,mention,0,twitter,,,,IndiHome
akunantekasing,@indihomecare,mention,0,twitter,,,,IndiHome
soullyyou,@indihome,mention,0,twitter,,,,IndiHome
dindrhms,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@erykhadianp,mention,0,twitter,,,,IndiHome
overlytrusting,@indihome,mention,0,twitter,,,,IndiHome
jhafifah_,@indihome,mention,0,twitter,,,,IndiHome
jhafifah_,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@kvnbhgs,mention,0,twitter,,,,IndiHome
xxavell17_,@indihome,mention,0,twitter,,,,IndiHome
younievers,@indihome,mention,0,twitter,,,,IndiHome
indihome,@pakrtgalau,mention,0,twitter,,,,IndiHome
indihome,@m_hidayat183,mention,0,twitter,,,,IndiHome
indihome,@telkomjabar,mention,0,twitter,,,,IndiHome
fenny_thejo,@indihome,mention,0,twitter,,,,IndiHome
heymarkudut,@indihome,mention,0,twitter,,,,IndiHome
marshmangow,@indihome,mention,0,twitter,,,,IndiHome
indihome,@marshmangow,mention,0,twitter,,,,IndiHome
indihome,@tomylim5,mention,0,twitter,,,,IndiHome
marshmangow,@indihomecare,mention,0,twitter,,,,IndiHome
brokreasi,@id_myrepublic,mention,0,twitter,,,,IndiHome
luckymancool007,@catatan_ali7,mention,0,twitter,,,,IndiHome
luckymancool007,@indihome,mention,0,twitter,,,,IndiHome
luckymancool007,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@ledoirejorie,mention,0,twitter,,,,IndiHome
serizawa_dhinar,@indihome,mention,0,twitter,,,,IndiHome
indihome,@dumbfaalief,mention,0,twitter,,,,IndiHome
indihome,@shuvfle,mention,0,twitter,,,,IndiHome
dumbfaalief,@indihome,mention,0,twitter,,,,IndiHome
dumbfaalief,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@beariesjourn,mention,0,twitter,,,,IndiHome
indihome,@ynriptr,mention,0,twitter,,,,IndiHome
adeprase,@indihome,mention,0,twitter,,,,IndiHome
indihome,@caocaa4,mention,0,twitter,,,,IndiHome
indihome,@0xluckyyyboy666,mention,0,twitter,,,,IndiHome
indihome,@imdongren,mention,0,twitter,,,,IndiHome
wiigarahmwt,@indihome,mention,0,twitter,,,,IndiHome
indihome,@08putr4,mention,0,twitter,,,,IndiHome
indihome,@rahvvana,mention,0,twitter,,,,IndiHome
bunnydung,@indihomecare,mention,0,twitter,,,,IndiHome
solihinpriok,@indihome,mention,0,twitter,,,,IndiHome
yulioadicandra,@indihome,mention,0,twitter,,,,IndiHome
pewrety,@indihome,mention,0,twitter,,,,IndiHome
0xluckyyyboy666,@roblox_fess,mention,0,twitter,,,,IndiHome
mediakonsumenid,@telkomsel,mention,0,twitter,,,,IndiHome
indihome,@ayangnyakamuu_,mention,0,twitter,,,,IndiHome
konolen,@indihome,mention,0,twitter,,,,IndiHome
shuvfle,@karwina21,mention,0,twitter,,,,IndiHome
shuvfle,@talonmidnight,mention,0,twitter,,,,IndiHome
hanifzahirulf,@indihome,mention,0,twitter,,,,IndiHome
indihome,@ahmdtybr,mention,0,twitter,,,,IndiHome
ulfaacantik,@indihomecare,mention,0,twitter,,,,IndiHome
ulfaacantik,@indihome,mention,0,twitter,,,,IndiHome
mahdamii,@rayytama,mention,0,twitter,,,,IndiHome
indihome,@bimaksm23,mention,0,twitter,,,,IndiHome
indihome,@rudyandre22,mention,0,twitter,,,,IndiHome
indihome,@nsaa_95,mention,0,twitter,,,,IndiHome
indihome,@tino_sutris,mention,0,twitter,,,,IndiHome
marsudi__,@kompascom,mention,0,twitter,,,,IndiHome
annisaalamsyah4,@indihome,mention,0,twitter,,,,IndiHome
